Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Source Port,Destination Port,Label
1776,13,18,322,4318,49911,132,BENIGN
8231,11,17,1048,537,63486,231,BENIGN
82,2,0,0,0,49821,42241,PortScan
2454,12,16,642,4224,65144,971,BENIGN
8176,7,7,917,3053,23600,144,BENIGN
3689903,4190,9,93,0,40216,80,DDoS
3861,1,12,1112,1655,58572,986,BENIGN
4801,6,1,552,3434,27470,918,BENIGN
14396,28,22,283,288,23386,8080,Bot
628,19,16,822,780,15503,602,BENIGN
4995,1,7,914,3736,22698,206,BENIGN
5495,20,8,1340,479,39745,975,BENIGN
3048447,4293,1,89,0,28391,80,DDoS
36,2,0,0,0,53314,34849,PortScan
5209,15,20,1127,203,3964,913,BENIGN
6569,10,8,301,2609,33983,896,BENIGN
76,2,0,0,0,2683,646,PortScan
4154655,3554,10,100,0,18549,80,DDoS
4208,8,3,729,4318,63395,770,BENIGN
8383,17,19,315,2587,27428,521,BENIGN
20,2,0,0,0,28195,41204,PortScan
9340,8,9,900,2755,39949,944,BENIGN
5934,2,2,527,3942,15363,866,BENIGN
771641,4764,4,78,0,46142,80,DDoS
7373,8,13,1430,700,20750,12,BENIGN
9128,9,1,964,4354,61471,1024,BENIGN
7802,6,1,1098,3511,53460,795,BENIGN
8161,2,12,1048,3244,32871,15,BENIGN
1138,5,6,1142,896,47884,881,BENIGN
6174,5,3,670,1790,48994,687,BENIGN
7627,20,1,1064,2926,35768,174,BENIGN
26,2,0,0,0,14329,35555,PortScan
2604,15,2,365,4410,14234,496,BENIGN
259886,3925,1,97,0,29566,80,DDoS
9510,10,11,728,967,49916,667,BENIGN
8751,7,9,816,825,6819,593,BENIGN
9079,15,20,1167,750,10900,99,BENIGN
7114,9,17,1244,1323,6724,8,BENIGN
6569,8,18,627,2407,61115,751,BENIGN
144,7,18,399,2761,18756,137,BENIGN
1425,2,9,594,4663,29122,757,BENIGN
1585,19,20,1495,4411,56478,203,BENIGN
1170,9,1,161,2066,24633,753,BENIGN
5619,5,15,974,4650,19030,806,BENIGN
46,2,0,0,0,27427,39375,PortScan
8708,18,11,1372,3994,18686,398,BENIGN
22437,17,12,936,872,56526,8080,Bot
1655,15,2,634,3598,63715,98,BENIGN
1137,11,4,856,4209,5758,291,BENIGN
3302,11,4,1103,103,50708,735,BENIGN
6152,8,13,266,1438,61173,152,BENIGN
4689,3,4,1392,4359,35759,614,BENIGN
7252,2,3,596,1390,37828,732,BENIGN
2443179,1132,5,99,0,6497,80,DDoS
3302,4,17,1477,4687,64408,879,BENIGN
3922130,1912,3,70,0,30521,80,DDoS
8619,3,4,308,1306,7386,605,BENIGN
9492,5,7,1392,2130,18975,160,BENIGN
1542,3,7,964,870,62462,595,BENIGN
9968,10,15,1221,1521,5148,113,BENIGN
9535,5,3,599,3879,4041,150,BENIGN
1327,3,12,510,758,63815,635,BENIGN
366,13,10,343,1805,32615,747,BENIGN
21,2,0,0,0,18732,35744,PortScan
7730,20,7,103,3646,57275,729,BENIGN
3422,3,1,72,430,25988,17,BENIGN
6136,8,7,1237,369,16267,225,BENIGN
8787,19,13,971,452,4847,14,BENIGN
9683,18,2,1214,2861,55361,162,BENIGN
6260,2,9,415,1772,49452,527,BENIGN
102857,2335,7,87,0,63952,80,DDoS
63,2,0,0,0,30793,45774,PortScan
4924897,2654,7,74,0,6840,80,DDoS
3479823,3398,2,78,0,40649,80,DDoS
4736,14,11,550,2730,40905,634,BENIGN
159,8,20,230,1705,60088,467,BENIGN
3547368,3473,2,66,0,52706,80,DDoS
1350,13,10,1129,1344,42653,493,BENIGN
3794,10,18,82,1157,41498,847,BENIGN
7919,12,15,1492,1754,53444,116,BENIGN
7511,12,17,715,3868,50068,362,BENIGN
8156,3,16,415,1367,34898,793,BENIGN
7263,19,20,120,590,64060,524,BENIGN
2442,1,16,292,1798,53393,745,BENIGN
40781,32,45,1094,17214,30428,445,Infiltration
8700,2,15,1038,4645,14686,194,BENIGN
5836,8,12,1012,1464,4320,645,BENIGN
28712,47,31,511,409,10296,8080,Bot
1691343,3028,6,97,0,6937,80,DDoS
2517,4,15,648,4125,63101,465,BENIGN
7151,6,12,1455,3711,18261,683,BENIGN
8629,2,14,510,4176,20161,6,BENIGN
8302,20,6,1092,1122,18153,77,BENIGN
30,2,0,0,0,31071,35220,PortScan
4636,18,7,226,2767,21843,813,BENIGN
7841,12,12,209,1577,18556,942,BENIGN
2411,7,7,1470,4086,51745,521,BENIGN
1059909,3564,0,66,0,16433,80,DDoS
43,2,0,0,0,22775,22426,PortScan
4880,14,6,780,4838,10002,445,BENIGN
4566,19,2,864,3475,36535,981,BENIGN
12,2,0,0,0,28896,21930,PortScan
77,2,0,0,0,12705,55576,PortScan
7091,9,17,1145,4170,33191,574,BENIGN
9991,15,5,399,2629,18491,356,BENIGN
2570,4,18,1069,1649,11833,121,BENIGN
9460,11,18,82,4369,29069,677,BENIGN
4278724,2736,7,96,0,35625,80,DDoS
2322350,2679,8,88,0,28864,80,DDoS
3112,6,5,1318,3344,52457,864,BENIGN
3052,2,5,268,623,51689,360,BENIGN
7116,20,14,784,3549,49287,186,BENIGN
7041,18,18,1448,3157,37427,221,BENIGN
2212,3,11,1338,4480,63896,227,BENIGN
982597,1392,1,80,0,55180,80,DDoS
7178,8,9,771,2096,26064,596,BENIGN
7062,16,15,779,285,51504,670,BENIGN
827640,3805,0,73,0,29988,80,DDoS
22830,14,8,357,578,1859,8080,Bot
2653,15,16,1068,563,46046,855,BENIGN
7115,13,6,240,1731,63527,558,BENIGN
2383,19,1,118,3958,62740,743,BENIGN
7023,6,6,1333,423,4340,350,BENIGN
8280,9,11,277,3460,56891,814,BENIGN
5591,7,14,1070,1346,14385,659,BENIGN
6905,18,3,1199,737,23876,462,BENIGN
4488759,2949,9,71,0,13068,80,DDoS
4707,10,2,697,4924,30148,392,BENIGN
4187,17,15,1467,863,64683,286,BENIGN
41485,96,99,34760,39399,22114,445,Infiltration
6916,4,3,1425,3035,13978,871,BENIGN
8156,7,7,852,929,43072,872,BENIGN
23142,34,81,30759,32894,30435,445,Infiltration
19,2,0,0,0,58144,59710,PortScan
7486,2,16,1234,3486,29473,637,BENIGN
5737,5,10,417,3910,33039,338,BENIGN
93,2,0,0,0,50884,59221,PortScan
2956,18,10,976,2023,49521,640,BENIGN
5817,6,21,210,700,60975,8080,Bot
8708,2,1,1431,3024,12416,1007,BENIGN
2631,13,11,1301,4117,14995,551,BENIGN
874,15,7,1490,638,15375,954,BENIGN
17,2,0,0,0,54858,57502,PortScan
9041,1,3,66,283,24170,108,BENIGN
5478,18,19,376,362,34185,489,BENIGN
70,2,0,0,0,60937,62981,PortScan
1244,18,12,1206,3364,24757,450,BENIGN
5145,18,6,992,2520,35411,707,BENIGN
13,2,0,0,0,64147,3274,PortScan
9967,4,14,1485,384,25992,538,BENIGN
5167,7,2,417,1660,58406,391,BENIGN
94012,46,58,33944,38958,41235,445,Infiltration
9753,18,15,1173,2392,55234,630,BENIGN
9212,20,14,1195,1104,18404,395,BENIGN
9557,14,9,387,248,28482,617,BENIGN
25,2,0,0,0,20029,51148,PortScan
5147,8,6,401,1234,22506,774,BENIGN
1892,1,20,1141,3038,51834,532,BENIGN
2033,7,5,146,1340,27389,510,BENIGN
25549,31,37,563,694,27993,8080,Bot
3670,18,9,1466,941,24358,943,BENIGN
201,15,9,1271,4567,58250,807,BENIGN
5154,6,11,864,4158,53475,723,BENIGN
9064,19,11,959,2233,15737,182,BENIGN
3230,12,3,872,818,33423,758,BENIGN
3290,6,1,850,3560,2179,606,BENIGN
5083,7,1,289,2508,3366,347,BENIGN
4866,8,6,736,2389,56437,532,BENIGN
3514725,2749,10,89,0,37838,80,DDoS
7888,1,7,733,3292,15265,372,BENIGN
4643,9,8,465,2773,24465,582,BENIGN
8691,15,5,1332,3760,37415,172,BENIGN
6813,10,15,225,175,16566,636,BENIGN
64,2,0,0,0,63655,45542,PortScan
853441,4051,10,86,0,41438,80,DDoS
9416,13,20,480,1816,47389,552,BENIGN
753871,4598,3,73,0,47382,80,DDoS
8833,19,8,842,2861,17002,633,BENIGN
392,17,1,705,3422,25636,639,BENIGN
2913,20,10,239,1968,32250,484,BENIGN
93,2,0,0,0,16683,11152,PortScan
5437,8,4,90,2366,40166,222,BENIGN
76830,12,78,28879,18410,38504,445,Infiltration
3531,7,17,205,2351,29923,496,BENIGN
3864,1,3,417,1552,13172,691,BENIGN
9846,19,19,119,3145,40863,704,BENIGN
457,15,8,93,586,3942,564,BENIGN
37317,48,31,32244,36577,62965,445,Infiltration
3629,5,7,1025,1409,5009,37,BENIGN
2559,8,13,434,2648,24574,200,BENIGN
1077,13,8,1050,2773,51016,19,BENIGN
3998898,4563,10,98,0,21537,80,DDoS
2043,6,12,844,681,63419,793,BENIGN
5375,9,7,1037,810,61510,230,BENIGN
46,2,0,0,0,10253,57809,PortScan
1574112,3374,8,86,0,6291,80,DDoS
1133932,1253,8,77,0,48077,80,DDoS
5151,3,9,1411,1547,55552,271,BENIGN
8481,7,15,1213,4473,15168,331,BENIGN
48,2,0,0,0,62345,223,PortScan
3776,4,13,1024,3915,35084,814,BENIGN
563,20,1,1027,4251,43281,22,BENIGN
9910,12,7,209,1927,27838,315,BENIGN
2376806,2417,10,65,0,53432,80,DDoS
5582,19,6,1173,3963,4417,608,BENIGN
9939,17,9,1119,2004,53565,193,BENIGN
56522,25,8,760,918,42626,8080,Bot
245,10,6,917,864,50793,945,BENIGN
816,19,19,764,1548,10224,789,BENIGN
4992,5,4,270,1262,7805,889,BENIGN
17,2,0,0,0,2102,34990,PortScan
42,2,0,0,0,10901,31608,PortScan
1927,14,9,1346,2891,33265,378,BENIGN
73,2,0,0,0,37276,18799,PortScan
28,2,0,0,0,39120,51043,PortScan
2811,11,16,591,210,63356,424,BENIGN
5101,10,13,1324,1754,61419,194,BENIGN
9367,14,17,501,3736,18525,80,BENIGN
5964,3,1,777,531,50684,878,BENIGN
1800,2,11,793,1475,64954,159,BENIGN
5305,18,16,503,1238,45913,190,BENIGN
223110,4302,8,79,0,56763,80,DDoS
1290,4,14,221,862,59599,137,BENIGN
36,2,0,0,0,51345,38231,PortScan
4723799,2171,10,90,0,51703,80,DDoS
12172,70,42,32494,48556,24488,445,Infiltration
4212,16,4,882,1142,9441,27,BENIGN
8768,4,2,840,3474,60673,424,BENIGN
6893,2,11,734,350,42205,765,BENIGN
2191,11,19,408,4345,15558,146,BENIGN
761,19,15,235,2800,21771,689,BENIGN
538613,2540,10,98,0,57362,80,DDoS
62,2,0,0,0,45366,36051,PortScan
59,2,0,0,0,6823,22781,PortScan
7382,5,9,961,662,39315,441,BENIGN
461,15,6,955,3660,28023,890,BENIGN
5371,13,15,883,3896,25143,724,BENIGN
408,13,7,764,4745,64721,351,BENIGN
4442,7,17,988,4320,42499,101,BENIGN
68591,44,22,15492,27727,1516,445,Infiltration
41,2,0,0,0,2551,19644,PortScan
3244,19,5,1130,248,33103,47,BENIGN
3347,10,5,1332,3802,26158,911,BENIGN
4950579,1844,4,76,0,52165,80,DDoS
1504,19,15,295,1936,40343,925,BENIGN
4252,9,14,1491,1119,26068,465,BENIGN
3577,3,17,333,2333,6901,185,BENIGN
89262,81,70,1677,20249,58381,445,Infiltration
2164,9,13,603,3495,52189,649,BENIGN
7789,20,14,995,4289,19971,431,BENIGN
4830,6,9,1241,469,57697,847,BENIGN
61,2,0,0,0,54552,9620,PortScan
47669,73,79,49904,16593,38168,445,Infiltration
4210847,2518,8,100,0,12649,80,DDoS
7040,6,20,1130,3465,18639,87,BENIGN
89622,48,27,4960,48923,35635,445,Infiltration
8680,5,6,1085,527,58486,397,BENIGN
7119,16,2,245,710,39035,756,BENIGN
3804558,1748,2,84,0,13572,80,DDoS
6166,17,9,372,1450,3024,230,BENIGN
8038,19,14,906,510,57428,679,BENIGN
313,11,13,1334,1736,23368,771,BENIGN
4745687,4662,9,67,0,38655,80,DDoS
1062,10,14,1285,4523,22842,487,BENIGN
1107,20,17,150,2993,30972,659,BENIGN
7526,20,10,467,1324,49525,865,BENIGN
4221,7,9,1488,1870,29298,487,BENIGN
1741,7,3,1170,2636,15178,957,BENIGN
5492,5,17,930,1083,17858,955,BENIGN
1722,3,3,118,1740,48678,714,BENIGN
2403,12,14,361,222,24093,153,BENIGN
8354,9,13,1334,629,11773,735,BENIGN
48,2,0,0,0,7571,43992,PortScan
78807,82,10,22931,37281,28795,445,Infiltration
7962,19,18,502,3941,50436,75,BENIGN
84,2,0,0,0,5331,43197,PortScan
70,2,0,0,0,42553,17927,PortScan
4684636,3630,2,76,0,42583,80,DDoS
18415,46,22,898,413,23710,8080,Bot
4461,18,18,889,1112,5354,178,BENIGN
4065982,1136,1,80,0,36405,80,DDoS
2610,4,19,366,1113,61401,504,BENIGN
5619,13,12,80,1809,57578,388,BENIGN
68,2,0,0,0,51560,33115,PortScan
6511,5,5,511,2369,49130,493,BENIGN
4064134,3593,9,93,0,4378,80,DDoS
8153,16,2,271,4996,5328,830,BENIGN
8464,7,10,1138,487,48844,912,BENIGN
36,2,0,0,0,44894,35379,PortScan
4945,13,18,132,2966,31593,559,BENIGN
6893,8,12,1024,4887,58766,941,BENIGN
16,2,0,0,0,26154,24071,PortScan
5089,16,16,918,1403,7360,26,BENIGN
5748,3,14,1006,1010,2314,15,BENIGN
1140,10,18,780,3190,40010,357,BENIGN
8816,11,1,1333,4922,38221,221,BENIGN
9758,15,15,557,3440,32864,366,BENIGN
4579,3,15,1005,4328,17741,40,BENIGN
2732,14,2,168,688,8648,452,BENIGN
48592,18,46,296,884,8636,8080,Bot
80,2,0,0,0,15523,17083,PortScan
6558,19,4,638,2105,53354,1019,BENIGN
3622935,3016,1,72,0,22489,80,DDoS
6118,13,19,1469,2147,12368,537,BENIGN
9389,8,1,920,1365,61605,632,BENIGN
3277,17,9,160,793,2516,502,BENIGN
2842,18,10,461,115,33337,818,BENIGN
38,2,0,0,0,29989,8508,PortScan
5811,3,8,1406,606,32843,579,BENIGN
3201,15,4,686,4504,65483,776,BENIGN
12,2,0,0,0,49463,11603,PortScan
50523,28,35,804,208,21117,8080,Bot
71095,48,96,32044,34283,37014,445,Infiltration
1709,4,10,94,4586,23700,579,BENIGN
9965,17,19,866,1035,32634,323,BENIGN
4865,8,6,1049,3923,13180,845,BENIGN
3591309,4470,0,95,0,27055,80,DDoS
3277,17,10,360,1826,2239,735,BENIGN
9850,11,3,1206,456,15868,858,BENIGN
26,2,0,0,0,24013,60715,PortScan
4428,12,6,123,3698,19232,121,BENIGN
7778,5,3,1315,653,52066,241,BENIGN
4882,4,10,793,1385,36086,596,BENIGN
8148,1,11,142,129,35746,744,BENIGN
2427,14,5,522,3940,22352,452,BENIGN
24,2,0,0,0,18187,65388,PortScan
4695,14,7,1074,637,30250,488,BENIGN
4202,16,4,1027,2067,12339,741,BENIGN
2589,4,3,1275,1144,64344,969,BENIGN
16,2,0,0,0,35245,42195,PortScan
59,2,0,0,0,7746,34267,PortScan
1371,13,11,890,923,48554,1006,BENIGN
14,2,0,0,0,31163,15826,PortScan
5501,9,8,316,3904,55171,364,BENIGN
39,2,0,0,0,44619,60861,PortScan
92,2,0,0,0,48811,37900,PortScan
8906,13,17,994,1261,23445,699,BENIGN
4705,19,6,1273,4722,26434,856,BENIGN
1034,7,16,1367,2250,4066,565,BENIGN
44,2,0,0,0,23048,26208,PortScan
56,2,0,0,0,9758,36136,PortScan
6672,15,6,973,2864,6339,496,BENIGN
4329,9,5,1484,2700,58611,970,BENIGN
40483,35,47,1316,10597,21708,445,Infiltration
96,2,0,0,0,59640,21153,PortScan
6834,5,7,1109,3930,56886,47,BENIGN
70,2,0,0,0,47869,22584,PortScan
9820,14,4,79,1891,61979,899,BENIGN
4191,15,15,376,3301,18779,355,BENIGN
16,2,0,0,0,42200,33806,PortScan
2644,9,14,390,4035,3063,545,BENIGN
3969,4,2,660,466,15026,207,BENIGN
6446,5,6,679,725,44720,176,BENIGN
6496,4,15,925,2429,43157,116,BENIGN
90200,40,27,31160,41631,15991,445,Infiltration
9792,9,4,261,4925,52662,214,BENIGN
2679,19,11,830,2581,9925,667,BENIGN
1848,20,3,183,2954,49303,210,BENIGN
5891,12,4,1105,2900,43588,658,BENIGN
5487,2,2,1261,631,35524,334,BENIGN
4853,4,11,575,820,64868,414,BENIGN
5433,16,2,1019,2691,63367,609,BENIGN
61,2,0,0,0,55203,23663,PortScan
3865,15,4,1463,3409,10076,238,BENIGN
5016,18,2,809,3877,6890,467,BENIGN
2827,19,4,1426,1768,61781,732,BENIGN
801,18,10,1352,4361,26055,456,BENIGN
2197,2,15,498,3958,25484,303,BENIGN
4023,9,13,1122,1745,14307,831,BENIGN
4486,20,7,122,2878,22023,471,BENIGN
3124,8,19,1466,1502,61715,169,BENIGN
2963543,1388,7,66,0,15372,80,DDoS
59,2,0,0,0,50682,13550,PortScan
53725,6,27,478,143,55246,8080,Bot
4262891,2433,5,95,0,36805,80,DDoS
6679,18,1,878,1388,2382,76,BENIGN
5836,5,7,876,3403,13709,610,BENIGN
1626,18,19,633,4857,47769,434,BENIGN
3909749,4582,7,80,0,28729,80,DDoS
2911,3,7,1136,4630,31498,487,BENIGN
2681,20,11,1131,2850,19022,486,BENIGN
64,2,0,0,0,44105,63645,PortScan
1913,1,18,329,1415,57840,296,BENIGN
4917,17,20,463,1591,18056,828,BENIGN
9432,13,20,448,1472,55114,212,BENIGN
3514,20,20,501,3173,43161,557,BENIGN
11,2,0,0,0,9207,41696,PortScan
2299,20,7,325,3584,47346,71,BENIGN
40312,39,46,336,960,23065,8080,Bot
3931,16,16,593,2097,11272,87,BENIGN
8490,7,9,729,2917,38789,51,BENIGN
7988,17,2,738,2722,48368,687,BENIGN
4723,13,19,1010,816,54345,669,BENIGN
2825,1,12,973,159,45347,214,BENIGN
3239,13,18,552,502,58586,618,BENIGN
7669,6,12,1221,4639,11165,254,BENIGN
1042,17,4,707,3200,9730,893,BENIGN
5619,17,16,700,2340,34894,265,BENIGN
1663,7,1,299,2729,9422,885,BENIGN
980,18,15,517,216,50251,415,BENIGN
3639,8,12,803,375,9220,808,BENIGN
4595115,2032,3,69,0,31154,80,DDoS
29,2,0,0,0,62526,15757,PortScan
6745,16,2,719,2864,4295,1014,BENIGN
7357,18,18,1500,2826,23959,42,BENIGN
3626,2,6,1249,1199,19475,338,BENIGN
55428,95,53,40017,43582,5590,445,Infiltration
3832,1,10,970,3183,28438,696,BENIGN
8329,9,19,728,1333,56880,536,BENIGN
48,2,0,0,0,25494,3533,PortScan
36791,29,19,570,797,22857,8080,Bot
9711,13,3,644,1330,52254,37,BENIGN
3927,11,4,681,2622,51997,245,BENIGN
2588,12,16,1323,4008,9042,435,BENIGN
77,2,0,0,0,59038,16631,PortScan
738,4,11,1036,1385,58898,25,BENIGN
2458,1,7,684,74,17855,978,BENIGN
91029,85,71,16886,22809,62538,445,Infiltration
1415,17,8,1000,390,59490,354,BENIGN
42,2,0,0,0,56503,44585,PortScan
8140,6,13,305,129,64785,701,BENIGN
22,2,0,0,0,19027,20956,PortScan
86,2,0,0,0,27945,9045,PortScan
6517,2,14,647,464,11754,233,BENIGN
6720,9,15,607,1120,57221,241,BENIGN
9655,19,20,788,1936,43005,758,BENIGN
58555,17,55,21033,27609,46492,445,Infiltration
10676,49,12,32338,18754,9231,445,Infiltration
6783,20,4,1311,4110,27740,330,BENIGN
1640,3,3,1246,2334,23717,275,BENIGN
4494,13,17,1258,1921,5745,648,BENIGN
9347,18,7,836,964,52245,65,BENIGN
8564,13,8,1345,1525,8784,837,BENIGN
8076,2,4,476,1918,21384,737,BENIGN
483,17,20,424,984,1352,795,BENIGN
60702,20,84,21445,42010,49656,445,Infiltration
9810,19,11,644,4406,18804,535,BENIGN
9355,8,7,1081,4004,52529,62,BENIGN
292,13,20,1489,3794,40912,891,BENIGN
4816459,1138,10,75,0,34923,80,DDoS
3950,4,7,278,4164,60753,233,BENIGN
2880,14,9,434,2190,46589,320,BENIGN
35,2,0,0,0,30137,45783,PortScan
8107,5,9,816,2365,38390,817,BENIGN
93,2,0,0,0,26515,38123,PortScan
7953,9,19,1180,2673,58113,808,BENIGN
471,20,15,750,997,43709,922,BENIGN
6518,19,14,310,658,26986,685,BENIGN
6467,8,6,1063,3134,42692,346,BENIGN
3366569,4512,3,91,0,34656,80,DDoS
3966241,1700,0,97,0,39055,80,DDoS
1969900,1634,0,73,0,47887,80,DDoS
1870,7,15,884,3219,61156,61,BENIGN
7961,20,8,666,2085,4320,553,BENIGN
9732,12,11,185,644,36922,455,BENIGN
499865,3566,7,69,0,19750,80,DDoS
29604,34,50,540,504,39668,8080,Bot
6489,10,19,1379,3251,38505,532,BENIGN
9024,18,11,991,365,63472,104,BENIGN
5629,8,9,1143,794,34014,217,BENIGN
4483,50,27,190,801,33341,8080,Bot
2483,19,18,1482,4202,39992,210,BENIGN
69437,29,30,21474,18134,7308,445,Infiltration
1511,9,12,1368,1849,26622,149,BENIGN
8681,3,2,356,3608,37469,918,BENIGN
4062,5,17,930,3706,22721,992,BENIGN
13,2,0,0,0,21405,47725,PortScan
37,2,0,0,0,59939,10680,PortScan
6318,3,2,168,4030,48928,241,BENIGN
973,15,1,1318,757,39953,216,BENIGN
3804,11,6,274,4262,34166,585,BENIGN
9321,20,9,772,1078,8703,902,BENIGN
14,2,0,0,0,29064,17303,PortScan
9870,9,1,154,4542,7032,881,BENIGN
6171,5,15,664,2365,63074,835,BENIGN
9429,18,20,933,3624,15990,75,BENIGN
2287334,4359,0,87,0,60333,80,DDoS
3242,12,2,1330,2129,7680,290,BENIGN
5718,17,15,1302,1510,11989,406,BENIGN
2948,2,9,164,291,54067,49,BENIGN
5772,4,2,381,3381,51770,502,BENIGN
41,2,0,0,0,46738,12760,PortScan
6218,11,16,903,4822,55640,857,BENIGN
72001,67,100,48488,36770,42316,445,Infiltration
9833,14,15,1293,346,34693,534,BENIGN
9617,14,16,1352,4614,28113,83,BENIGN
3714202,2315,8,92,0,18618,80,DDoS
20177,13,31,541,286,2050,8080,Bot
8779,10,13,919,4890,23906,466,BENIGN
54175,36,32,163,936,57998,8080,Bot
1999736,4413,3,71,0,39033,80,DDoS
1186,14,1,770,2791,33971,1024,BENIGN
5986,20,20,1057,3596,50360,579,BENIGN
97574,93,72,37171,40097,23177,445,Infiltration
8969,13,20,229,1262,18146,653,BENIGN
8278,9,5,486,415,24703,964,BENIGN
480481,4712,7,85,0,25449,80,DDoS
3710,17,11,110,89,21841,213,BENIGN
9691,6,4,1299,2295,29301,355,BENIGN
6884,7,2,471,1914,21402,588,BENIGN
3508,2,3,884,1705,59897,804,BENIGN
96,2,0,0,0,51593,18099,PortScan
5718,2,11,333,2811,2649,640,BENIGN
87,2,0,0,0,16389,7857,PortScan
59,2,0,0,0,53386,34054,PortScan
6751,20,20,1330,4486,19071,590,BENIGN
4864,4,12,369,2290,47556,282,BENIGN
1756,13,20,343,3867,56007,364,BENIGN
6935,3,3,959,2470,24853,457,BENIGN
5068,19,16,1285,2776,30703,898,BENIGN
6771,10,17,1300,999,32280,1006,BENIGN
2483,9,11,1052,1670,6699,768,BENIGN
63081,34,25,23726,4555,35069,445,Infiltration
5002,14,4,580,3993,54428,902,BENIGN
8745,1,11,430,3792,27368,578,BENIGN
3960,13,5,1420,4661,1731,612,BENIGN
9260,11,12,246,1657,41749,357,BENIGN
1236,8,1,638,2501,45683,428,BENIGN
1815,19,2,803,2267,53751,130,BENIGN
578,7,5,1217,900,9588,307,BENIGN
7113,12,15,1374,4837,32042,976,BENIGN
786,19,4,703,1107,43270,120,BENIGN
24567,74,16,31495,27114,24380,445,Infiltration
2709452,2119,7,73,0,56849,80,DDoS
6020,11,3,185,2958,62860,175,BENIGN
4207,11,6,322,4042,48442,352,BENIGN
5683,6,14,1429,3142,48451,375,BENIGN
6982,20,2,79,2512,6070,761,BENIGN
4493,18,20,1381,2441,45285,707,BENIGN
7907,15,3,1091,4829,51552,87,BENIGN
77,2,0,0,0,15398,61655,PortScan
7075,18,13,722,899,16487,512,BENIGN
7783,14,6,1232,2446,27453,882,BENIGN
6731,12,5,239,4029,59266,1002,BENIGN
694,3,10,1428,1990,2245,169,BENIGN
7480,10,16,931,2477,10518,617,BENIGN
7004,16,18,159,1110,34194,904,BENIGN
1355,17,11,1037,1346,34031,233,BENIGN
975933,2556,3,99,0,43124,80,DDoS
76932,43,14,30607,8105,47922,445,Infiltration
1567,18,7,360,3015,47175,847,BENIGN
6604,6,19,829,3878,13653,834,BENIGN
21225,22,38,125,784,57621,8080,Bot
4265,6,11,1390,3038,6472,689,BENIGN
1018,6,14,711,4132,28447,90,BENIGN
3867,14,7,579,2266,39863,277,BENIGN
